Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Anfernee Simons,Por,G,21.71,27,18.1,37.7,20.5,9.3,26,0.846,58,0.362,144,0.41,0.542,0.565,8.9,2.5,7.3,1.2,9.6,0.22,0.19,0.81,6.6,110.7,111.3
Deividas Sirvydis,Det,F-G,20.71,4,1.2,2.4,18.8,0,0,0,0,0,2,0,0,0,0,0,0,0.3,27.8,0,0,0,0,,
Marcus Smart,Bos,G,26.97,17,32.3,67.3,19.1,12.2,62,0.742,98,0.469,90,0.311,0.468,0.516,13.1,2.8,4.8,6.1,26.3,1.76,0.53,1.76,7.5,111.9,108.2
Dennis Smith Jr.,Nyk,G,23.25,3,9.2,19.2,21.8,7.3,6,0.833,6,0.333,4,0,0.2,0.356,3,0.7,3.8,1,14.9,1,0,0.33,5.6,83.6,92.7
Dennis Smith Jr.,Det,G,23.25,6,16,33.2,21.6,20.9,4,0.75,20,0.35,16,0.25,0.361,0.384,4.8,1.7,5.8,2.5,23.5,0.83,0.67,1.67,6.8,79.5,107.5
Ish Smith,Was,G,32.64,19,20.6,42.9,15,13.4,15,0.4,96,0.406,20,0.25,0.401,0.404,5.2,3.5,8.8,4.7,30.9,0.79,0.21,1,8.6,99.4,112.3
Jalen Smith,Pho,F-C,20.94,8,6.2,12.9,17,5.3,2,0,10,0.4,7,0.286,0.412,0.391,1.8,1.3,11.2,0.3,5.4,0,0.25,0.13,5.7,94.2,110
Tony Snell,Atl,G,29.29,17,13.7,28.5,10.6,12.1,0,0,15,0.133,36,0.556,0.627,0.627,3.8,1.5,6.1,0.9,9.5,0.12,0.12,0.41,5,121,112.3
Ray Spalding,Hou,F,23.96,2,9.4,19.5,17.9,38.1,2,0,3,0.667,1,0,0.5,0.41,2,2,11.3,0,0,0,1,1.5,0,60.6,99.2
Cassius Stanley,Ind,G,21.52,8,2.9,6.1,19,9.8,5,0.8,5,0.2,2,0.5,0.357,0.489,1.1,0.4,7.1,0,0,0,0.25,0.13,0,,
Lamar Stevens,Cle,F,23.63,20,14.3,29.9,15.7,10.5,29,0.69,66,0.455,15,0.133,0.407,0.459,4.3,2.6,10.1,1,9.5,0.4,0.3,0.55,6.3,96.7,108.8
Isaiah Stewart,Det,F-C,19.76,28,17.9,37.2,13.4,14.2,30,0.7,115,0.522,5,0.2,0.513,0.541,5.1,5.5,17.1,0.7,5.8,0.46,1,0.79,6,114.2,100
Max Strus,Mia,G-F,24.91,18,15.4,32,17.2,2.8,12,0.75,17,0.882,82,0.366,0.606,0.619,7.2,1.1,4.1,0.6,5.7,0.17,0,0.17,4.4,118,107.3
Edmond Sumner,Ind,G,25.15,16,9.4,19.5,18.9,15.3,14,0.643,33,0.576,16,0.313,0.541,0.562,3.9,1.3,7.7,0.5,7.5,0.5,0.06,0.63,5.8,101.5,102.9
Jae'Sean Tate,Hou,F,25.32,29,27.4,57.1,14.4,12.6,46,0.717,153,0.627,62,0.339,0.593,0.612,9.9,5.2,10,1.8,9.8,0.97,0.59,1.17,6.6,118.6,102.6
Jayson Tatum,Bos,F-G,22.98,25,35.5,74,31,9.8,129,0.868,347,0.478,177,0.39,0.514,0.56,26,7.1,11.1,4.6,22.4,1.28,0.48,2.52,10.7,112.4,108.1
Jeff Teague,Bos,G,32.71,23,17.3,35.9,18.1,14.9,30,0.9,92,0.283,38,0.421,0.385,0.443,5.5,1.6,5.2,2,15.6,1,0.13,1.09,6,93.7,109.1
Garrett Temple,Chi,G-F,34.8,29,27.8,58,13.9,10.7,31,0.806,100,0.53,121,0.364,0.538,0.56,9.1,3.2,6.4,2,9.4,1,0.59,0.97,5.6,110.1,107.8
Tyrell Terry,Dal,G,20.4,11,5.1,10.7,15.1,10.4,3,0.333,9,0.556,7,0,0.313,0.318,1,0.5,5.8,0.5,14.2,0.45,0,0.18,4.9,74.1,111.3
Daniel Theis,Bos,F-C,28.89,28,24.8,51.7,14.4,13.3,41,0.683,122,0.664,62,0.387,0.636,0.648,9.4,5.3,11.8,1.5,8.5,0.61,1.14,1.11,6.8,122,102.2
Brodric Thomas,Hou,G,24.07,4,6.1,12.6,24.8,28.4,7,0.714,1,1,6,0.167,0.357,0.496,2.5,1,8.7,1,22.5,0.25,0.25,1,8.9,88.6,91.4
Matt Thomas,Tor,G,26.56,17,6.6,13.8,17.1,11.2,4,1,10,0.4,28,0.357,0.5,0.528,2.5,0.7,5.9,0.4,8.8,0.12,0,0.29,5.4,100.9,112.1
Tristan Thompson,Bos,C-F,29.95,28,23,47.8,14.4,12,62,0.613,161,0.54,2,0,0.534,0.557,7.6,8.2,19.9,0.9,5.2,0.36,0.43,0.93,6.7,116.8,103.4
Sindarius Thornwell,Nor,G,26.28,11,4.8,10,12.8,12.6,2,0,7,0.429,6,0.5,0.577,0.54,1.4,0.3,3.1,0.2,5,0.36,0,0.18,3.6,100,112
Matisse Thybulle,Phi,G-F,23.98,28,18.3,38.2,8.4,9.8,12,0.5,32,0.563,55,0.273,0.466,0.471,3.1,1.4,4.1,0.9,6.1,1.5,0.89,0.36,3.4,101,100.7
Xavier Tillman,Mem,F,22.12,22,21.1,43.9,15.2,11.4,19,0.789,107,0.607,32,0.281,0.565,0.584,7.8,4.9,12.6,1.5,10.3,0.91,0.64,0.86,7.3,116.9,103.5
Obi Toppin,Nyk,F,22.98,21,11.9,24.7,17.8,10,10,0.7,48,0.625,38,0.289,0.541,0.553,4.8,2.4,10.7,0.5,6.9,0.19,0.43,0.48,6,106,103.6
Juan Toscano-Anderson,Gol,F,27.87,18,21.6,45,11.7,16.8,14,0.714,53,0.623,30,0.433,0.633,0.645,6.4,4.6,11.2,2.4,15,0.5,0.61,1,7.7,120.2,101.8
Karl-Anthony Towns,Min,C-F,25.28,11,32.7,68.1,26.1,14.8,51,0.941,115,0.557,52,0.423,0.581,0.639,22,11.2,18.2,3.5,18,0.91,2,3,11.6,117.9,103.4
Gary Trent Jr.,Por,G-F,22.1,28,30.7,64,19.6,4.8,39,0.744,148,0.419,211,0.431,0.553,0.566,15.2,2.1,3.7,1.4,6.6,0.71,0.18,0.68,4.6,115.6,118
P.J. Tucker,Hou,F,35.81,27,29.7,61.9,7.9,18.1,17,0.824,40,0.45,75,0.32,0.47,0.498,4.5,4.5,8,1.3,5.9,0.85,0.52,1,4,98.4,103.9
Myles Turner,Ind,C-F,24.92,27,31.2,65,16.9,11.3,85,0.776,133,0.654,120,0.325,0.575,0.615,13.2,6.6,11.6,1,4.4,1.07,3.48,1.37,5.7,114.3,101.4
Jonas Valanciunas,Mem,C,28.8,22,27.6,57.5,23.6,14.5,82,0.756,229,0.581,24,0.333,0.573,0.609,16,11.2,22.2,1.9,10.6,0.55,0.77,2.23,10.1,114.8,100.9
Denzel Valentine,Chi,G,27.27,26,19.7,41,18.7,7.2,6,1,78,0.397,127,0.354,0.48,0.489,7.8,4,11.2,1.7,11.7,0.69,0.04,0.62,7.6,100.8,107.8
Jarred Vanderbilt,Min,F,21.89,29,19,39.6,13,16.5,51,0.51,117,0.598,2,0.5,0.601,0.597,5.8,5.8,16.2,1.7,12.7,1.07,0.66,0.97,8.1,117,101.8
Fred VanVleet,Tor,G,27,31,36.6,76.3,23.9,10.3,113,0.894,244,0.443,271,0.376,0.507,0.552,20.1,4.4,6.6,6.6,28,1.71,0.74,2.1,9.1,114.9,108.8
Devin Vassell,San,G-F,20.5,26,17.3,36.1,14,8.1,21,0.857,63,0.397,63,0.397,0.496,0.529,5.5,3.2,9.5,1.1,8.2,1.12,0.35,0.46,6.2,108.7,103.8
Gabe Vincent,Mia,G,24.69,21,15,31.3,20.7,12.9,17,0.882,48,0.521,73,0.233,0.417,0.451,5.5,1.1,4.3,1.3,13.4,0.38,0.05,0.9,5.3,87.9,102.7
Noah Vonleh,Bro,F,25.5,4,2.7,5.6,20.1,40,0,0,1,0,2,0,0,0,0,0.3,5.2,0.3,10.3,0,0,0.5,0,,
Nikola Vucevic,Orl,C,30.34,31,33.8,70.5,28.8,7.1,85,0.835,424,0.517,196,0.403,0.544,0.567,24.1,11.7,17.9,3.6,20.4,1.1,0.61,1.61,11.9,114.9,105.4
Dean Wade,Cle,F-C,24.26,23,8.4,17.4,13.7,16.3,5,0.8,16,0.375,33,0.333,0.459,0.479,2.1,1.3,8.4,0.4,7.2,0.22,0.09,0.43,4.9,93.1,110.6
Moritz Wagner,Was,F-C,23.83,16,13.6,28.2,16.5,10.4,29,0.655,44,0.705,21,0.286,0.615,0.637,6.2,2.8,10.8,1.1,12.1,0.69,0.38,0.56,7.9,121.7,96.6
Lonnie Walker IV,San,G-F,22.2,25,26.7,55.5,18.7,9,35,0.8,139,0.446,110,0.355,0.484,0.509,10.8,2.9,5.7,1.7,8.8,0.48,0.36,1.04,5.6,98.3,106.9
Kemba Walker,Bos,G,30.8,15,28.9,60.2,28.3,11.9,47,0.915,117,0.393,115,0.348,0.457,0.505,17,3.6,6.9,4.1,22,1.2,0.33,2.27,8.7,102.9,110.3
John Wall,Hou,G,30.47,20,30.9,64.3,30.6,15.3,97,0.753,219,0.479,114,0.351,0.495,0.536,20.2,3.7,6.2,6.3,35.1,0.95,0.65,3.4,10.1,103.4,110.3
Brad Wanamaker,Gol,G,31.58,31,16.5,34.4,15.3,15.2,48,0.875,84,0.417,51,0.235,0.393,0.474,4.8,1.9,5.9,2.7,21.2,0.84,0.13,0.9,7.1,102.2,104.6
T.J. Warren,Ind,F,27.47,4,29.4,61.1,22,6.7,10,0.8,44,0.614,7,0,0.529,0.56,15.5,3.5,6.6,1.3,6.6,0.5,0,1,5.6,107.2,102.5
P.J. Washington,Cha,F,22.51,26,29,60.4,18.9,16.7,69,0.754,159,0.478,89,0.36,0.5,0.539,11.5,6.3,11.8,3,14.9,0.96,1.23,2.15,8.3,104,105.1
Yuta Watanabe,Tor,G-F,26.37,20,12,25,11.2,12.8,8,1,23,0.261,28,0.429,0.471,0.514,2.8,3.2,14.5,0.4,3.9,0.45,0.6,0.4,5.1,107.4,103.5
Tremont Waters,Bos,G,23.12,9,10,20.9,20.6,29.9,8,0.875,15,0.2,12,0.25,0.278,0.36,2.4,0.9,4.9,2.8,35.4,0.56,0,1.44,7.3,81.6,108.9
Paul Watson,Tor,G,26.15,14,3.1,6.4,16,6.3,0,0,3,0.333,12,0.667,0.867,0.867,1.9,0.6,11.5,0.1,7.5,0,0.14,0.07,6.3,,
Quinndary Weatherspoon,San,G,24.45,5,4.8,10,21.2,50.5,2,1,4,0.25,1,0,0.2,0.34,0.8,0.4,4.3,0.6,15.2,0.2,0,1.2,4.8,46,83.4
Russell Westbrook,Was,G,32.28,21,33.9,70.7,31.1,19.2,116,0.612,302,0.46,80,0.288,0.454,0.483,19.9,9.7,15,9.7,45.3,0.76,0.33,4.9,14.5,97.2,106.5
Coby White,Chi,G,21.02,30,33.2,69.2,21.7,13.2,62,0.871,210,0.457,203,0.365,0.501,0.531,15.6,4.9,8.1,5.2,21.8,0.33,0.2,2.23,8.9,105.8,109.6
Derrick White,San,G,26.65,8,23.6,49.2,22.6,7,15,0.733,42,0.452,44,0.341,0.483,0.508,11.8,1.8,3.8,3.9,24,1,1,0.88,7.4,107.1,104.4
Hassan Whiteside,Sac,C,31.7,23,14.6,30.4,23.6,12.9,55,0.545,137,0.584,1,0,0.58,0.586,8.3,5.7,21.4,0.5,5.1,0.26,1.3,1.04,7.9,109.3,104.9
Andrew Wiggins,Gol,F,26,31,32.2,67.2,23.4,10.7,103,0.67,287,0.526,160,0.369,0.536,0.557,17.7,4.8,7.8,2.2,10.3,0.74,1.23,1.9,7.1,103.5,107.1
Robert Williams III,Bos,C-F,23.35,23,15.4,32.2,14.9,17.8,24,0.667,90,0.733,1,0,0.725,0.729,6.4,5.7,20.5,0.8,8.1,1.04,1.39,0.96,8,132.4,98.3
Grant Williams,Bos,F,22.23,24,19.3,40.1,12.8,16.6,29,0.517,50,0.48,53,0.415,0.553,0.557,5.4,3.1,8.9,1,6.7,0.46,0.42,0.96,5.3,105.9,99.9
Kenrich Williams,Okc,G-F,26.23,31,18.5,38.5,13.1,15.1,21,0.619,97,0.588,40,0.4,0.591,0.598,5.6,4,11.4,1.7,13.3,0.84,0.19,0.84,7.3,118.1,103
Lou Williams,Lac,G,34.33,30,22.4,46.8,26.1,11.3,84,0.857,231,0.437,85,0.376,0.472,0.524,12.3,2.4,6.1,3.8,25.2,0.83,0.1,1.5,8.6,109.4,111.1
Zion Williamson,Nor,F,20.63,29,32.8,68.3,28,11.2,229,0.712,436,0.626,17,0.353,0.623,0.656,25.1,6.8,11.6,3.1,16.5,0.97,0.69,2.41,9.9,125.8,110.5
Patrick Williams,Chi,F,19.5,29,28.3,58.9,16,15,61,0.803,168,0.494,66,0.394,0.521,0.562,10.1,4.8,9.4,1.2,5.5,0.72,0.66,1.59,5.5,102.5,107.6
D.J. Wilson,Mil,F,25.01,10,9.4,19.7,18.6,9.6,2,0.5,14,0.429,23,0.348,0.486,0.488,3.7,2.2,12.2,0.3,4.1,0.1,0.3,0.4,5.7,95.4,100.5
Dylan Windler,Cle,G-F,24.42,17,17.9,37.4,14.3,14.8,19,0.895,32,0.594,46,0.304,0.513,0.562,5.7,3.6,11.4,1.2,9.8,0.53,0.53,0.88,6.5,108.8,110.8
Justise Winslow,Mem,F-G,24.91,2,23.4,48.8,26.1,10.4,4,0.5,15,0.133,9,0.222,0.208,0.233,6,5,11.7,1,5.4,0.5,0,1.5,5.3,56.7,105.3
Cassius Winston,Was,G,22.99,6,7.3,15.2,11.2,8.4,2,1,3,0.333,7,0.429,0.55,0.597,2.2,0.7,4.8,1,17.9,0,0.17,0.17,6.3,126.9,111.1
James Wiseman,Gol,C,19.9,20,20.9,43.6,25.7,12.6,61,0.623,173,0.514,22,0.409,0.526,0.548,12.2,6.1,15.1,0.7,5.4,0.4,1.3,1.6,7.1,99.6,95.9
Robert Woodard II,Sac,F,21.42,6,2.9,5.9,32,7.8,2,0,8,0.625,3,0.333,0.591,0.547,2.2,1.3,25.4,0,0,0,0,0.17,0,,
Christian Wood,Hou,F,25.41,17,31.2,65,26.2,9.5,64,0.688,191,0.613,76,0.421,0.618,0.634,22,10.2,17.3,1.3,7.7,0.94,1.53,1.82,8.5,115.9,103.9
Delon Wright,Det,G,28.83,29,29.2,60.9,15.6,11.8,79,0.785,162,0.506,73,0.384,0.528,0.575,10.7,4.6,8.8,4.9,25.5,1.41,0.52,1.24,8.5,122.1,111.6
Thaddeus Young,Chi,F,32.67,26,25.2,52.4,19.5,17,40,0.5,210,0.643,21,0.238,0.617,0.613,11.7,5.9,13,4.3,25.8,1.23,0.54,1.96,10.6,120.2,102.7
Trae Young,Atl,G,22.43,28,34.8,72.4,32.4,16.1,287,0.885,320,0.472,174,0.379,0.506,0.608,26.9,3.9,6.1,9.5,45.9,0.86,0.25,4.25,11.5,119.5,111.8
Cody Zeller,Cha,F-C,28.38,17,23.7,49.4,17.6,11.4,33,0.758,115,0.565,18,0.167,0.523,0.556,9.6,7.7,17.5,2.5,15.4,0.59,0.59,1.12,9.6,117.8,101.9
Ivica Zubac,Lac,C,23.94,32,19.5,40.6,15.4,14.8,77,0.831,150,0.673,1,0,0.669,0.719,8.3,6.7,19.4,1.1,7.9,0.38,0.75,1,8.1,138.4,99.1
Justin Patton,Hou,C,23.7,1,21.5,44.8,11.9,0,0,0,4,0.5,2,0,0.333,0.333,4,6,14.7,0,0,0,3,0,0,78.8,92.9
