Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Ed Davis,Min,C-F,31.72,19,13.9,29,8.4,11.4,8,0.875,43,0.419,0,0,0.419,0.462,2.3,5.1,19.6,1,9.5,0.53,0.53,0.32,6.5,121.1,95
Terence Davis,Tor,G,23.78,25,13.7,28.6,20.9,11.4,12,0.917,58,0.5,84,0.393,0.553,0.57,6.7,1.8,7.1,1,10.8,0.56,0.12,0.76,6.7,105.5,103.3
DeMar DeRozan,San,G-F,31.55,25,33.4,69.6,23.2,9.1,169,0.893,288,0.514,48,0.333,0.512,0.603,19.8,5,7.8,6.9,30.8,0.76,0.32,1.64,10.5,126,108.9
Hamidou Diallo,Okc,G,22.57,31,24.2,50.4,23.1,12.3,132,0.629,252,0.516,39,0.282,0.503,0.539,12.1,5.2,11.3,2.5,16.3,1,0.39,1.58,8.9,105.1,100.9
Gorgui Dieng,Mem,C,31.1,20,18,37.4,16.6,15.7,39,0.872,58,0.552,43,0.488,0.629,0.681,8.1,4.8,14.4,1.4,10.8,0.85,0.7,1.1,8.4,125.4,102.9
Spencer Dinwiddie,Bro,G,27.89,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.3,3,17.4,0.67,0.33,1.67,8.3,102.1,109.5
Donte DiVincenzo,Mil,G,24.06,31,26.5,55.1,16.9,11.2,23,0.609,131,0.458,152,0.388,0.525,0.53,10,4.5,8.9,2.8,13.5,1.1,0.23,1.19,7.6,109.9,107.8
Luka Doncic,Dal,F-G,21.99,28,35.2,73.4,36,14.6,233,0.773,385,0.548,204,0.333,0.531,0.583,28.8,8.6,13.3,9.3,47,1.07,0.68,4.21,15,114.3,109
Luguentz Dort,Okc,G,21.85,30,29.9,62.2,19.7,10.9,79,0.747,150,0.493,176,0.318,0.485,0.52,12.5,3.5,6.1,1.5,7.6,0.83,0.27,1.47,5.4,97.9,106.5
Damyean Dotson,Cle,G,26.8,26,20.2,42,17.7,10.2,26,0.692,85,0.553,97,0.278,0.481,0.499,7.4,1.7,4.8,2.3,16.8,0.42,0.15,0.85,6.1,103,115.9
Devon Dotson,Chi,G,21.56,1,9.5,19.8,18,0,0,0,4,0.5,0,0,0.5,0.5,4,1,5.8,0,0,0,0,0,0,98.1,107.7
Sekou Doumbouya,Det,F,20.17,26,13,27,17.6,11.7,23,0.739,67,0.403,44,0.273,0.405,0.442,4.1,2.5,10.8,0.5,6.2,0.38,0.08,0.62,5.3,89.6,103.6
PJ Dozier,Den,G-F,24.33,17,19.4,40.5,15.6,11,25,0.72,57,0.509,37,0.405,0.548,0.576,7.1,4.1,12.1,1.4,9.3,0.59,0.59,0.76,7.1,116,106.7
Goran Dragic,Mia,G,34.8,17,26.5,55.3,26.3,19.1,47,0.809,117,0.521,78,0.359,0.528,0.566,14.4,3.1,6.5,5.3,33.4,0.53,0.12,3,9.3,103.4,104.2
Andre Drummond,Cle,C,27.54,25,28.9,60.2,30.9,15.6,129,0.597,373,0.483,8,0,0.472,0.499,17.5,13.5,26.2,2.6,15.8,1.6,1.16,3.24,11.8,97.3,101.2
Jared Dudley,Lal,F,35.63,7,3.5,7.4,1.8,0,0,0,0,0,1,1,1.5,1.5,0.4,0.9,13.5,0.3,9.8,0,0,0,5.4,,
Kevin Durant,Bro,F,32.4,19,35.8,74.5,31.3,13.7,145,0.869,246,0.565,113,0.434,0.592,0.652,29,7.3,11.5,5.2,23.4,0.74,1.42,3.53,11.5,119.2,110.2
Anthony Edwards,Min,G,19.55,31,28.5,59.3,24.8,9.7,73,0.795,257,0.42,179,0.313,0.44,0.472,14.3,3.6,6.8,2.5,13.6,0.74,0.35,1.61,7.1,94.7,114.2
